"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0259821",256.591696518922,1.08328306261294,0.166326421009399,6.51299448421201,7.36672166110794e-11,3.33557402371114e-09
"FBgn0085334",75.018077782482,-1.232465206661,0.373280882658075,-3.30170995601168,0.000960973843306543,0.0107335896971331
"FBgn0037223",37.0078320042312,-2.08708637649656,0.413687567636522,-5.04507879804195,4.53334501271474e-07,1.25807635949629e-05
"FBgn0037290",101.937192923362,3.07652398037755,0.277079217298728,11.1034093800715,1.20748069839481e-28,2.73367274955014e-26
"FBgn0000071",468.057925667952,2.59213486600954,0.150893471692091,17.1785753017796,3.84232132829254e-66,3.30554903873007e-63
"FBgn0015568",306.13627281028,1.03324455202248,0.168339426631817,6.13786427039659,8.36382734250233e-10,3.31585283997915e-08
"FBgn0266801",314.610805270826,1.15381267297363,0.210172241087431,5.48984331614776,4.02290449492495e-08,1.30109200638494e-06
"FBgn0037635",281.805124702412,-1.02706842804756,0.153888040371134,-6.67412766820972,2.48707041863298e-11,1.24396900066858e-09
"FBgn0037646",60.0029670852898,-2.70699369601491,0.361257773140674,-7.49324692028371,6.71903244990212e-14,5.16105680058107e-12
"FBgn0037678",50.8593837148193,1.76521761773495,0.373995920244795,4.7198846890617,2.3597837540357e-06,5.65493583174629e-05
"FBgn0261552",8903.62977454312,-1.78527022151633,0.146748018888603,-12.1655490482058,4.74245839768073e-34,1.51108776278694e-31
"FBgn0002868",158.212301712193,-2.05078519114199,0.216603168593733,-9.46793717033987,2.85424437481689e-21,3.96049425105641e-19
"FBgn0037754",394.464100332039,-2.31946066375315,0.164514317016461,-14.098837753562,3.86075771694996e-45,2.37243561706575e-42
"FBgn0051477",62.3499577895835,1.04371852818564,0.301943421019777,3.45666921524771,0.000546895721560249,0.00671200636239752
"FBgn0265276",224.663354981489,1.85411990960774,0.193180462081751,9.59786455435179,8.16178161956831e-22,1.17026345455244e-19
"FBgn0038143",43.8547860644157,1.09187222317522,0.346958672313077,3.14698063575125,0.00164965886593932,0.0166964884984423
"FBgn0038149",1500.13264166384,1.06259815538326,0.107721964668111,9.86426638854116,5.94675555768477e-23,9.13570322549323e-21
"FBgn0051337",1398.84123276944,-1.02580997181797,0.128196589224877,-8.0018507358144,1.22562904785185e-15,1.13377276329779e-13
"FBgn0038198",92.4167183825659,2.33657479698706,0.309027028462017,7.56106936217151,3.99768980659418e-14,3.18445605612312e-12
"FBgn0038237",43.4095878061772,-2.21326728306476,0.465653058247321,-4.75303929366492,2.00381385499155e-06,4.89738937343532e-05
"FBgn0038261",44.270576613608,1.54210678169872,0.358425801465456,4.30244356124386,1.6892470846466e-05,0.000330572327401247
"FBgn0263041",161.688908188167,-1.64777420961989,0.259707133495885,-6.34473989004233,2.22801560228238e-10,9.53612847086332e-09
"FBgn0038381",211.577355436522,-1.09594731567494,0.188440382591162,-5.81588352032109,6.03144560572592e-09,2.13313726917922e-07
"FBgn0063649",839.904531248908,-1.22630164397266,0.123251113580312,-9.94961918273934,2.53150065432478e-23,4.18817310176078e-21
"FBgn0024491",1266.66880709819,1.03316357711834,0.124361318449483,8.3077567044131,9.75282333778885e-17,9.53449308806789e-15
"FBgn0038484",39.5661294520928,-1.31230001195057,0.401907863071369,-3.26517625687145,0.00109395980367487,0.0120042553456823
"FBgn0038528",230.918983839902,1.38583942003261,0.183560151718577,7.54978358351595,4.35982093723411e-14,3.44105867183716e-12
"FBgn0038545",122.58605243658,1.07897454961342,0.220394443280791,4.89565223855832,9.7980204545988e-07,2.55933638739373e-05
"FBgn0038832",429.850329748409,-2.68909673328474,0.17996648522051,-14.9422084339194,1.75075487769284e-50,1.25514535106596e-47
"FBgn0038865",405.781226429883,-1.02502582169083,0.151088866818363,-6.78425778997407,1.16684814934173e-11,6.27399664299182e-10
"FBgn0051163",20.5461740303931,1.5271202711458,0.49940093565365,3.05790430517917,0.00222890741509875,0.0217160707724741
"FBgn0039069",48.870417678032,-1.05461807877693,0.348988053802097,-3.02193174605048,0.00251167174603371,0.0239555565755299
"FBgn0039094",23.0313843749987,-1.72749006761217,0.49091411250408,-3.51892525313746,0.00043329876889167,0.00557200195631545
"FBgn0039098",460.720359753625,-1.00593920106405,0.158259776731559,-6.35625312912157,2.06734257360527e-10,8.89267408036307e-09
"FBgn0042106",42.7647985081152,-1.22574623793536,0.408529961245488,-3.00038272394618,0.00269640566107143,0.0254914042881291
"FBgn0039109",663.673672415969,-1.33218814858737,0.127714522155712,-10.4309840893672,1.79024464055715e-25,3.42254992060292e-23
"FBgn0039155",1086.97429520489,-4.60365367832048,0.154360455940382,-29.8240482011697,1.90587278026481e-195,1.63962235286182e-191
"FBgn0039178",23.5500555752701,2.27356032143599,0.521652005386205,4.35838508806796,1.31025688121894e-05,0.000265852357290721
